"symbol"
"020Y.L"
"069500.KS"
"069660.KS"
"091160.KS"
"091170.KS"
"091180.KS"
"091220.KS"
"091230.KS"
"098560.KS"
"099140.KS"
"0E5H.L"
"0FLE.L"
"0GGH.L"
"0GZA.DE"
"0GZB.DE"
"0GZC.DE"
"0GZE.DE"
"0GZF.DE"
"0GZG.DE"
"0GZH.DE"
"0GZI.DE"
"0GZJ.DE"
"0GZK.DE"
"0GZL.DE"
"0NS.DE"
"0P00006DAQ.F"
"0P0000VE06.L"
"0P0000ZLBW"
"0P00015OFP.F"
"0P0001DIJX.SI"
"0TPE.L"
"0UCF.L"
"0W9J.L"
"0XC5.IL"
"0XC5.L"
"0XCK.IL"
"0Y3O.L"
"0Y8Z.L"
"100910.KS"
"100D.L"
"100H.L"
"100H.PA"
"101280.KS"
"102110.KS"
"102780.KS"
"102960.KS"
"102970.KS"
"104520.KS"
"104530.KS"
"105010.KS"
"105190.KS"
"105780.KS"
"108450.KS"
"108590.KS"
"10AH.DE"
"10AI.DE"
"10AJ.DE"
"10AK.DE"
"10AK.F"
"10AL.DE"
"10AM.DE"
"114100.KS"
"114260.KS"
"114460.KS"
"114470.KS"
"114800.KS"
"114820.KS"
"117460.KS"
"117680.KS"
"117690.KS"
"117700.KS"
"122090.KS"
"122260.KS"
"122630.KS"
"123310.KS"
"123320.KS"
"1306.T"
"130680.KS"
"130730.KS"
"131890.KS"
"132030.KS"
"1329.T"
"1330.T"
"133690.KS"
"136340.KS"
"1364.T"
"137610.KS"
"137930.KS"
"138230.KS"
"138520.KS"
"138530.KS"
"138540.KS"
"138910.KS"
"138920.KS"
"139220.KS"
"139230.KS"
"139240.KS"
"139250.KS"
"139260.KS"
"139270.KS"
"139280.KS"
"139290.KS"
"139310.KS"
"139320.KS"
"139660.KS"
"140570.KS"
"140580.KS"
"140700.KS"
"140710.KS"
"140950.KS"
"143460.KS"
"143850.KS"
"143860.KS"
"144600.KS"
"145670.KS"
"145850.KS"
"1475.T"
"147970.KS"
"148020.KS"
"148070.KS"
"150460.KS"
"152100.KS"
"152380.KS"
"152500.KS"
"152870.KS"
"153130.KS"
"153270.KS"
"1557.T"
"156080.KS"
"157450.KS"
"157490.KS"
"157500.KS"
"1591.T"
"159800.KS"
"160580.KS"
"1615.T"
"161510.KS"
"166400.KS"
"167860.KS"
"168300.KS"
"168580.KS"
"169950.KS"
"174360.KS"
"176710.KS"
"176950.KS"
"181480.KS"
"182480.KS"
"182490.KS"
"183700.KS"
"183710.KS"
"185680.KS"
"189400.KS"
"18M0.DE"
"18M1.DE"
"18M2.DE"
"18M3.DE"
"18M4.DE"
"18M6.DE"
"18MF.DE"
"18MG.DE"
"18MK.DE"
"18MM.DE"
"18MP.DE"
"18MS.DE"
"18MU.DE"
"18MW.DE"
"18MX.DE"
"18MY.DE"
"18MZ.DE"
"190620.KS"
"192090.KS"
"192720.KS"
"195920.KS"
"195930.KS"
"195970.KS"
"195980.KS"
"196030.KS"
"196230.KS"
"1AAP.L"
"1ABN.L"
"1AMZ.L"
"1ARG.L"
"1ARK.L"
"1ARKK.AS"
"1ARW.L"
"1BID.L"
"1COI.L"
"1FB.L"
"1GIS.L"
"1GOO.L"
"1JD.L"
"1MCS.L"
"1MSF.L"
"1NFL.L"
"1NIO.L"
"1PAS.L"
"1PAS.MI"
"1PDD.L"
"1PLT.L"
"1PLU.L"
"1SE.L"
"1SHO.L"
"1TSL.L"
"200030.KS"
"200250.KS"
"203780.KS"
"204450.KS"
"204480.KS"
"205720.KS"
"208470.KS"
"210780.KS"
"211560.KS"
"211900.KS"
"213610.KS"
"213630.KS"
"214980.KS"
"215620.KS"
"217770.KS"
"217780.KS"
"217790.KS"
"218420.KS"
"219390.KS"
"219480.KS"
"219900.KS"
"220130.KS"
"223190.KS"
"225030.KS"
"225040.KS"
"225050.KS"
"225060.KS"
"225130.KS"
"225800.KS"
"226380.KS"
"226490.KS"
"226980.KS"
"227540.KS"
"227550.KS"
"227560.KS"
"227570.KS"
"227830.KS"
"228790.KS"
"228800.KS"
"228810.KS"
"228820.KS"
"229200.KS"
"229720.KS"
"230480.KS"
"232080.KS"
"233160.KS"
"233740.KS"
"236350.KS"
"237350.KS"
"237440.KS"
"238720.KS"
"241180.KS"
"243880.KS"
"243890.KS"
"244580.KS"
"244620.KS"
"245340.KS"
"245350.KS"
"245360.KS"
"245710.KS"
"248260.KS"
"248270.KS"
"250730.KS"
"250780.KS"
"251340.KS"
"252000.KS"
"252650.KS"
"252670.KS"
"252710.KS"
"253160.KS"
"256440.KS"
"256450.KS"
"256750.KS"
"261060.KS"
"261070.KS"
"261110.KS"
"261120.KS"
"261140.KS"
"261220.KS"
"261240.KS"
"261920.KS"
"265690.KS"
"266160.KS"
"266360.KS"
"266370.KS"
"266390.KS"
"266410.KS"
"266420.KS"
"266550.KS"
"267440.KS"
"267450.KS"
"267490.KS"
"267500.KS"
"267770.KS"
"269370.KS"
"269420.KS"
"269530.KS"
"269540.KS"
"26ID.PA"
"270800.KS"
"270810.KS"
"271050.KS"
"271060.KS"
"272220.KS"
"272230.KS"
"272560.KS"
"272580.KS"
"272910.KS"
"273140.KS"
"275280.KS"
"275290.KS"
"275300.KS"
"275750.KS"
"275980.KS"
"276000.KS"
"276650.KS"
"276970.KS"
"276990.KS"
"277540.KS"
"277630.KS"
"277640.KS"
"277650.KS"
"278240.KS"
"278420.KS"
"278530.KS"
"279530.KS"
"279540.KS"
"2801.HK"
"2802.HK"
"2803.HK"
"280320.KS"
"2805.HK"
"2806.HK"
"2807.HK"
"2809.HK"
"280920.KS"
"280930.KS"
"280940.KS"
"2812.HK"
"281990.KS"
"2820.HK"
"282000.KS"
"2823.HK"
"2824.HK"
"2825.HK"
"2826.HK"
"2827.HK"
"2828.HK"
"283580.KS"
"2836.HK"
"2838.HK"
"284430.KS"
"2845.HK"
"2846.HK"
"284980.KS"
